date,new_cases
30-03-2022,1225
31-03-2022,1335
01-04-2022,1260
02-04-2022,1096
03-04-2022,913
04-04-2022,795
05-04-2022,1086
06-04-2022,1033
07-04-2022,1109
08-04-2022,1150
09-04-2022,1054
10-04-2022,861
11-04-2022,796
12-04-2022,1088
13-04-2022,1007
14-04-2022,949
15-04-2022,975
16-04-2022,1150
17-04-2022,2183
18-04-2022,1247
19-04-2022,2067
20-04-2022,2380
21-04-2022,2451
22-04-2022,2527
23-04-2022,2593
24-04-2022,2541
25-04-2022,2483
26-04-2022,2927
27-04-2022,3303
28-04-2022,3377
29-04-2022,3688
30-04-2022,3324
01-05-2022,3157
02-05-2022,2568
03-05-2022,3205
04-05-2022,3275
05-05-2022,3545
06-05-2022,3805
07-05-2022,3451
08-05-2022,3207
